"date","year","month","mean_pet","min_pet","max_pet","std_dev"
"1992-10",1992,10,0.164419064636039,0.0656470751543013,0.363609928243706,0.0605658054438377
"1992-11",1992,11,0.11137848490914,0.0290310225974065,0.295545477381495,0.0557273272678208
"1992-12",1992,12,0.132900924847854,0.0893499982862505,0.202046367525615,0.0208375011898582
"1993-01",1993,1,0.0471751921002267,0,0.134010856493611,0.0248458794503685
"1993-02",1993,2,0.000117215235384767,0,0.0401756749612609,0.00147840294359453
"1993-03",1993,3,0.0212195758464197,0,0.203165371147016,0.0362096802944412
"1993-04",1993,4,0.020371408663431,0,0.261230415987349,0.0449998227146773
"1993-05",1993,5,0.00484182410799142,0,0.0911185948914405,0.0136981564801802
"1993-06",1993,6,0.235667553993036,0,0.522678780769058,0.144012610370767
"1993-07",1993,7,0.218912161621019,0,0.471569230671959,0.116625410415484
"1993-08",1993,8,0.295204428834767,0.0140272846840185,0.536958771869019,0.105484002225691
"1993-09",1993,9,0.480848082007798,0.0757618703198981,0.710561992447752,0.11820309571491
"1993-10",1993,10,0.24861907144716,0.123723727001924,0.417541239839292,0.0591366917095267
"1993-11",1993,11,0.221338130934584,0.134391880674087,0.443028164745186,0.0645236087687521
"1993-12",1993,12,0.0528134699972148,0,0.230012152256167,0.0451780479262258
"1994-01",1994,1,0.0256585134271723,0,0.127277631251371,0.0302575299453252
"1994-02",1994,2,0.116139761211201,0.032144187236493,0.205125945068055,0.0280486828631753
"1994-03",1994,3,0.000594255286522159,0,0.0536839916664532,0.00401674484939292
"1994-04",1994,4,0.0233526624064614,0,0.12132686809643,0.0270369620821224
"1994-05",1994,5,0.150524411815223,0,0.338399734531463,0.0802320328179122
"1994-06",1994,6,0.30189723780994,0.0169366907575076,0.669616677984666,0.162128095733127
"1994-07",1994,7,0.358046729222387,0.0468937252728302,0.805629323260779,0.172139105738223
"1994-08",1994,8,0.192710743579636,0,0.443330845394442,0.106861325673664
"1994-09",1994,9,0.420768884097039,0.1689929181928,0.596569739637686,0.095060916720024
"1994-10",1994,10,0.257952073788851,0.149540712112441,0.490105004642568,0.0711780115251162
"1994-11",1994,11,0.18569726352456,0.110493179755383,0.407452892763784,0.0548625067399521
"1994-12",1994,12,0.0764502493893061,0,0.208802864213871,0.0388824367799824
"1995-01",1995,1,0.0422201963629769,0,0.147843365071735,0.0264381309673173
"1995-02",1995,2,0.00106123551209767,0,0.0434145034785245,0.00478832320855606
"1995-03",1995,3,0.0219878445541141,0,0.178907078821255,0.032055461760613
"1995-04",1995,4,0.00102706551577098,0,0.0412813701597853,0.00453732143613225
"1995-05",1995,5,0.105114301462783,0,0.300652298297202,0.0787430756529406
"1995-06",1995,6,0.218425089417139,0,0.546496160751179,0.14047734362798
"1995-07",1995,7,0.490529355132104,0.105109853364207,0.991575281597489,0.195944434206166
"1995-08",1995,8,0.359599128181307,0.134090538531553,0.641039284282882,0.108629283676801
"1995-09",1995,9,0.0903231593261714,0,0.382525912094858,0.0670779433699506
"1995-10",1995,10,0.341056433723324,0.238832778457425,0.548944047375877,0.0726259439530588
"1995-11",1995,11,0.141513247605999,0.050076961662499,0.248299166726297,0.0382190547178783
"1995-12",1995,12,0.0927170081882329,0.0315835640073768,0.191679950525351,0.0284573706973262
"1996-01",1996,1,0.0737340343034991,0.0375511855684442,0.159194107199343,0.0170753716875752
"1996-02",1996,2,0.000360590584243308,0,0.0483689582956331,0.003103642820747
"1996-03",1996,3,0.0532458088470838,0,0.175506889576304,0.0375881391681273
"1996-04",1996,4,0.0132508242782229,0,0.18924146443342,0.0345778361239006
"1996-05",1996,5,0.121738815523235,0,0.274727352698878,0.0741626799199175
"1996-06",1996,6,0.146517534279962,0,0.369090284617302,0.10481329872206
"1996-07",1996,7,0.373467369570882,0.0250364059285071,0.788705684922563,0.189623499349212
"1996-08",1996,8,0.470472140518213,0.124248424899133,0.819316374352245,0.164883071574374
"1996-09",1996,9,0.3084875090211,0.141196334485407,0.4758296341961,0.0787612415199478
"1996-10",1996,10,0.234536243442065,0.103242019381752,0.460526947608439,0.0688307923536785
"1996-11",1996,11,0.167128687609805,0.118684728088134,0.21871157795294,0.0198003331932937
"1996-12",1996,12,0.0807586765155867,0.0380934244472742,0.144429635803971,0.0150953258184988
"1997-01",1997,1,0.000270174082276873,0,0.0270495187060034,0.00191921108146996
"1997-02",1997,2,0.00205286571588245,0,0.0668921838745724,0.00846625414172938
"1997-03",1997,3,0.0905736292934173,0.0288580943643255,0.201861733700259,0.0309153665227625
"1997-04",1997,4,0.00148728746450337,0,0.0475449689386852,0.00636240274249665
"1997-05",1997,5,0.0347361588949439,0,0.162379379348482,0.0424649205086069
"1997-06",1997,6,0.142687475016389,0,0.394933878764156,0.108688801653504
"1997-07",1997,7,0.42754008713307,0.0603123400562353,0.910304713026104,0.202511055832995
"1997-08",1997,8,0.26349993821025,0,0.581914913502751,0.128036612642514
"1997-09",1997,9,0.284550976033855,0.143672369730054,0.555662102673718,0.076389589292628
"1997-10",1997,10,0.25794066934739,0.167099163886999,0.437818513989265,0.0569488986554294
"1997-11",1997,11,0.0963345416441666,0.0361890607302175,0.242943725110116,0.0378525296851775
"1997-12",1997,12,0.0818954858991356,0,0.396730745799877,0.0788745808588647
"1998-01",1998,1,0.122533476064007,0.0663488309579456,0.180418277281462,0.0212923123356738
"1998-02",1998,2,0.00335663016579132,0,0.10602164338557,0.0145415529821902
"1998-03",1998,3,0.0162980545678962,0,0.103780110639167,0.0245948804586216
"1998-04",1998,4,0.0986095662846641,0,0.263818514715043,0.0594350560853825
"1998-05",1998,5,0.0411650868689108,0,0.201084375771992,0.0550668663484058
"1998-06",1998,6,0.276720116766835,0,0.688734491812683,0.194097203891797
"1998-07",1998,7,0.300515511617418,0.0467086455747862,0.656485900005374,0.129218783192934
"1998-08",1998,8,0.585139821129965,0.200378034383995,1.0468689835118,0.187867112184315
"1998-09",1998,9,0.371717482837401,0.112117785227893,0.584718811235015,0.107735977089277
"1998-10",1998,10,0.208144991649977,0.127234352414441,0.443550935321844,0.0586844017545917
"1998-11",1998,11,0.132316186295552,0.0752750498487485,0.227017119783623,0.0295853343763649
"1998-12",1998,12,0.101899335406781,0.0405367673811588,0.218083064346547,0.0318081192080012
"1999-01",1999,1,0.00946048938115228,0,0.105473705945944,0.0162418647545353
"1999-02",1999,2,0.0469450159671991,0,0.253729048934066,0.061027598066294
"1999-03",1999,3,0.0546955414505994,0,0.264126906843726,0.0583446466947066
"1999-04",1999,4,0.131899777413483,0,0.299862511342842,0.0656149020578994
"1999-05",1999,5,0.217988839941454,0.0495684009535038,0.48419911993828,0.104384717604933
"1999-06",1999,6,0.150996209214154,0,0.446848987540527,0.11548732980707
"1999-07",1999,7,0.288011901787907,0,0.593442253328067,0.145559977100496
"1999-08",1999,8,0.176784470920659,0.00536088721012985,0.389622389344371,0.067675652574189
"1999-09",1999,9,0.444136829356224,0.1576492834579,0.653317443768017,0.112003574323967
"1999-10",1999,10,0.331855447078073,0.142834449429256,0.624109671284028,0.117318582691557
"1999-11",1999,11,0.144187653515918,0.042620262213591,0.383763287532514,0.0659636723810066
"1999-12",1999,12,0.0885049034783927,0,0.296310514417937,0.0612195982383211
"2000-01",2000,1,0.107763397275831,0.0660238423900921,0.179713456420297,0.0202018370046557
"2000-02",2000,2,0.00351975126402596,0,0.0696320156053234,0.0115820263433917
"2000-03",2000,3,0.0123718385736193,0,0.120292128636439,0.0243792943709489
"2000-04",2000,4,0.102910522856717,0,0.22442056548305,0.0449164778603328
"2000-05",2000,5,0.116050533784356,0,0.352909660339402,0.0981585432383773
"2000-06",2000,6,0.259849838644167,0,0.684359941182809,0.170756258919366
"2000-07",2000,7,0.288021009057697,0.0242998523528903,0.61942733991843,0.140001563165886
"2000-08",2000,8,0.400705856462028,0.104005558469345,0.748352037362845,0.15162969549353
"2000-09",2000,9,0.329798669056023,0.108588826331201,0.537965170674384,0.093509829139767
"2000-10",2000,10,0.200616958274445,0.108837972663603,0.393402261244487,0.0538181405844421
"2000-11",2000,11,0.118302415270408,0.0497835471949463,0.333582677216319,0.0548670380756963
"2000-12",2000,12,0.11085573225182,0.0696521528346806,0.220618546055716,0.0251827206862546
"2001-01",2001,1,0.0136885855350392,0,0.183679533199846,0.0289815032829533
"2001-02",2001,2,0.0691592358179482,0.0169188257365958,0.161752537915917,0.0258909771780986
"2001-03",2001,3,0.0240277486775218,0,0.164490187329523,0.0392793381417097
"2001-04",2001,4,0.0386097438970774,0,0.146453458866931,0.039619802393494
"2001-05",2001,5,0.2561945391924,0.0210810471781857,0.56146742200176,0.121880267822293
"2001-06",2001,6,0.152395476179683,0,0.441019129768541,0.140904444340969
"2001-07",2001,7,0.35475286517975,0.0112271836176717,0.76312490478653,0.179081158571606
"2001-08",2001,8,0.302322746215781,0.00160617454546317,0.570065730179675,0.125910275062359
"2001-09",2001,9,0.361237472814241,0.137208639971821,0.547141305706913,0.101748217164085
"2001-10",2001,10,0.29911837654025,0.133450898017016,0.56516803878951,0.0998590773958642
"2001-11",2001,11,0.132819083431894,0.0557364999036021,0.361884702066491,0.0518422919398825
"2001-12",2001,12,0.103047306195962,0.0340879146044626,0.242217911683605,0.0388059227030943
"2002-01",2002,1,0.0134683390663493,0,0.125274151926044,0.0238612647529793
"2002-02",2002,2,0.0266320493162837,0,0.174312238053517,0.034511431895598
"2002-03",2002,3,0.0999599523993855,0.0296105549754509,0.196352519293672,0.03630328082617
"2002-04",2002,4,0.00648828132806253,0,0.101834783894557,0.0177549530361308
"2002-05",2002,5,0.0602817802370889,0,0.24326150969492,0.071418373561679
"2002-06",2002,6,0.17605598216763,0,0.575891906348197,0.147414967827179
"2002-07",2002,7,0.526150592782509,0.100487608593956,1.13813099559702,0.228170573711144
"2002-08",2002,8,0.47193359472856,0.0840875569889037,0.918758296990847,0.182836475766442
"2002-09",2002,9,0.33279904948525,0.125548119121336,0.54620885307135,0.0996360419044393
"2002-10",2002,10,0.204314890085439,0.048358223640794,0.360293645193676,0.0648400866360176
"2002-11",2002,11,0.10592220113965,0.0336675977972391,0.281288647706298,0.0453801294551622
"2002-12",2002,12,0.113284262959599,0.0538850745281617,0.323414889991322,0.048288212100483
"2003-01",2003,1,0.0478060382572389,0,0.234743546430797,0.0475883764645723
"2003-02",2003,2,0.0311179189953545,0,0.148114536903388,0.03178220268662
"2003-03",2003,3,0.0425248002150825,0,0.165320958704534,0.0343855893044359
"2003-04",2003,4,0.0033572545984883,0,0.094861220327039,0.0122389010877963
"2003-05",2003,5,0.0963842174222021,0,0.28193486336919,0.0763867023953282
"2003-06",2003,6,0.302798672969547,0,0.7025904396863,0.19680610028406
"2003-07",2003,7,0.424288115360792,0.035857493671756,0.869280680282927,0.197996261073854
"2003-08",2003,8,0.412392442639768,0.100372010606588,0.677964036951744,0.121157307251924
"2003-09",2003,9,0.321456955590881,0.111112291345137,0.490368763571597,0.0873556800823282
"2003-10",2003,10,0.171894872618123,0.0781738400325079,0.381410565928398,0.0629150441331034
"2003-11",2003,11,0.211808462371482,0.127822143051821,0.392743650649862,0.0501655848187174
"2003-12",2003,12,0.0703508644672569,0,0.287581366729996,0.050809180446125
"2004-01",2004,1,0.0596979552734667,0.0104467117984166,0.14705441218975,0.0220278526686618
"2004-02",2004,2,0.000284267286464124,0,0.0411744989709918,0.0026770552085397
"2004-03",2004,3,0.0930946471783964,0,0.305057789685898,0.0684568859719732
"2004-04",2004,4,0.0730676313751723,0,0.212118360359173,0.0597636805863908
"2004-05",2004,5,0.208099503624342,0,0.55861512335384,0.141493305824144
"2004-06",2004,6,0.065141521255097,0,0.28569489955651,0.0785080992226608
"2004-07",2004,7,0.382862947153055,0.0881695601661401,0.731817898140276,0.135027120511978
"2004-08",2004,8,0.166149627130525,0.0153529323817178,0.409927962445955,0.102314339894602
"2004-09",2004,9,0.382736275989969,0.218288592061521,0.585844828307552,0.0808904998496493
