"date","year","month","mean_precip","min_precip","max_precip","std_dev"
1978-03-01,1978,3,63.357237423296,25.0301896594465,383.209804072976,48.97055513487
1978-04-01,1978,4,42.7917293715396,12.4012213200331,145.366145297885,19.7051851245897
1978-05-01,1978,5,58.6117219779855,32.3754700366408,185.72760373354,15.5453030403608
1978-06-01,1978,6,41.2916669377644,21.7797327786684,92.7306432276964,9.49927447218448
1978-07-01,1978,7,32.3315351946375,14.1226645791903,64.6224352531135,8.59743088005076
1978-08-01,1978,8,100.861132635742,57.9954797867686,355.217579752207,32.086779228073
1978-09-01,1978,9,93.1917673410907,57.4363907799125,366.78783595562,32.7573939529044
1978-10-01,1978,10,99.6109810711793,29.2948333080858,433.201499283314,72.9019334590413
1978-11-01,1978,11,123.075308590049,41.7678616940975,558.380540460348,79.3792059223312
1978-12-01,1978,12,86.6506799763939,36.0897530335933,493.033470585942,68.4714736327799
1979-01-01,1979,1,46.6737463831695,21.5235757641494,259.72293689847,34.7702788319864
1979-02-01,1979,2,83.4023451550581,40.7451149076223,375.866882503033,46.9544659925566
1979-03-01,1979,3,48.7221311929275,17.5562601070851,311.655658297241,41.0034722424318
1979-04-01,1979,4,42.5937304239535,20.8771554753184,166.0944102332,22.1512949435736
1979-05-01,1979,5,71.9011000276446,49.8491518665105,222.323126159608,20.1481930240905
1979-06-01,1979,6,60.9542454521243,32.0416828617454,189.313902519643,17.7467997246849
1979-07-01,1979,7,61.7278794259174,25.0449643936008,155.31044639647,21.6802588529941
1979-08-01,1979,8,40.2018654748073,17.1624452341348,71.0144818294793,9.17199310896532
1979-09-01,1979,9,76.2711061487118,29.4099538587034,308.051006868482,32.9954732652518
1979-10-01,1979,10,58.7255805954695,17.1908254269511,269.897077232599,34.5570480797384
1979-11-01,1979,11,25.4664792589305,3.05571098579094,215.767174959183,31.9247696070676
1979-12-01,1979,12,100.712976523789,40.0435498449951,630.987191572785,89.3365112105633
1980-01-01,1980,1,58.661852888863,18.0346381384879,360.930890776217,50.0726298720121
1980-02-01,1980,2,44.9172490322752,17.505113966763,241.577659733593,28.1063959767611
1980-03-01,1980,3,51.5770696112001,26.1399764567614,293.665820732713,32.6652671490551
1980-04-01,1980,4,41.7734144125934,14.606905169785,303.462501615286,36.7807693753332
1980-05-01,1980,5,62.3796112283356,33.2377818413079,163.052421528846,17.3207894290723
1980-06-01,1980,6,75.4081950485032,26.3712834566832,177.372051402926,31.4875203457045
1980-07-01,1980,7,78.6646574661104,30.4659421090037,262.756932526827,35.6846539014515
